CODIGO_RNT,ESTADO_RNT,RAZON_SOCIAL_ESTABLECIMIENTO
68818,ACTIVO,ECOTURES SIERRA MAR GUAJIRA S.A.S.
68822,ACTIVO,MARIA DEL PILAR MENDOZA ACOSTA
69274,ACTIVO,SASHII TOURS
69278,ACTIVO,HOTEL GUAJIIRA AZUL
70832,ACTIVO,CARIBBEAN SCHOOL D.T
71578,ACTIVO,ANDRU HOTEL
71881,ACTIVO,WAYIRA PARADISE
72181,ACTIVO,GUAJIRA BIRDING TOURS
72328,ACTIVO,FINCA LA TRIADA
73055,ACTIVO,HOTEL ATARDECER GUAJIRO
73147,ACTIVO,HOTEL DAMA GUAJIRA
73148,ACTIVO,ROMZU HOTEL
73596,ACTIVO,WALENA HOSTEL
73947,ACTIVO,LA SIERRA RIOHACHA
74028,ACTIVO,ASUURA TOURS
74769,ACTIVO,CASA ZAIDA HOSTAL VINTAGE
74770,ACTIVO,HOTEL CASA GRANDE RIOHACHA
75116,ACTIVO,MAR AZUL PLAYA Y TURISMO
75169,ACTIVO,INVERSIONES TORRES BARLIZA S.A.S
75170,ACTIVO,YURICA  PALMEZANO IBARRA
76070,ACTIVO,HOTEL LA VIEJA SARA RIOHACHA
76651,ACTIVO,MARADENTRO CAFE BAR
77057,ACTIVO,AVENTUROUS S.A.S
77313,ACTIVO,AMISTAD HOSTAL Y RESTAURANTE
77533,ACTIVO,NUEVE UNO HOSTEL
78044,ACTIVO,HOTEL TAMAIWA
78518,ACTIVO,PATROL TOURING
78522,ACTIVO,JUAN PABLO CASTRO MORALES
78524,ACTIVO,JUAN PABLO CASTRO MORALES
78881,ACTIVO,ALOJAMIENTO LA MARINA
79521,ACTIVO,HOTEL SAN BERNARDO SAS
79682,ACTIVO,RANCHERIA TOURS
79848,ACTIVO,LAPU HOTEL RESTAURANTE BAR
79849,ACTIVO,MAR INN HOTEL
80691,ACTIVO,TURISMO POR COLOMBIA
81032,ACTIVO,CASA DE CISNES
81034,ACTIVO,HOSTAL SUMAIWA
81035,ACTIVO,GUAJIRA EXTREMA
81224,ACTIVO,HOSTAL SOLSTICIO GUAJIRO
81228,ACTIVO,LEDIS ELENA ESCOBAR GIRON
81998,ACTIVO,CARIBE TOURS COLOMBIA
82000,ACTIVO,HOSTAL DON JERONIMO
82006,ACTIVO,AKUALINK HOSTEL
82334,ACTIVO,RESTAURANTE DISCO BAR REY DAVID
82335,ACTIVO,HOTEL LOS REMEDIOS TOURS
82720,ACTIVO,HOSTAL MI GUAJIRA
82723,ACTIVO,HOTEL GUAIRA
82961,ACTIVO,HOSTAL AMBIENTE FAMILIAR
84139,ACTIVO,EKIPUJANA TRAVELS TOURS
84211,ACTIVO,UNITRANSCO S.A.
84570,ACTIVO,HOTEL BRISAS DE LA GUAJIRA
84571,ACTIVO,AVIATUR RIOHACHA
84572,ACTIVO,HOTEL EL EJECUTIVO II
85021,ACTIVO,RESTAURANTE SEVICHERIA LA CASA DEL MARISCO
85023,ACTIVO,CANAVERAL RESTAURANTE
85024,ACTIVO,HOSTAL KITE
85027,ACTIVO,TUGUAJIRA.COM
85173,ACTIVO,HOTEL LAS VEGAS
85174,ACTIVO,HOTEL LA MAKUIRA
85175,ACTIVO,HOTEL MIRAFLORES RB
85454,ACTIVO,HOTEL YUMBREL
85456,ACTIVO,ROELIMAR
85462,ACTIVO,DIAMOND TOURS
85463,ACTIVO,MEGATRANS EXPRESS
86433,ACTIVO,GRUPO ALIANZA COLOMBIA WAYIRA
86481,ACTIVO,ELIMELEC TOURS GUAJIRA
87185,ACTIVO,TRANSFOX LTDA
