nom_colegio,p_ingles,p_global,num_est,calendario
GIMN DE LOS CERROS,85.13157894736842,358.4736842105263,38,B
GIMN DEL NORTE,80.53488372093024,322.8837209302326,43,B
GIMN FEMENINO,83.3921568627451,335.921568627451,51,B
GIMN FONTANA,80.82142857142857,324.98214285714283,56,B
GIMN LA MONTAÑA,86.91304347826087,360.0217391304348,46,B
GIMN VERMONT,84.17105263157895,357.82894736842104,76,B
GIMNASIO BOLÍVAR,54.88235294117647,245.7058823529412,17,OTRO
GIMNASIO CAMPESTRE DE GUILFORD,62.11538461538461,251.79310344827587,29,B
GIMNASIO LA ARBOLEDA,74.22222222222223,304.8888888888889,9,B
GIMNASIO LOS PORTALES COLEGIO BILINGÜE,84.0,340.9387755102041,49,B
GIMNASIO YACARD,71.23076923076923,311.38461538461536,13,B
INNOVAR EDUCACION PARA JOVENES Y ADULTOS,40.4375,222.25,16,A
INST ANDRE MICHELIN,36.55172413793103,203.6551724137931,29,A
INST IP EDUCANDO LA JUVENTUD FUTURO DE COLOMBIA,48.72727272727273,228.0909090909091,11,A
INST POLITECNICO JOSE CELESTINO MUTIS,38.172413793103445,198.0344827586207,29,A
INSTITUCION EDUCATIVA FEDERICO GARCIA LORCA,57.0,297.6,5,A
INSTITUCION EDUCATIVA FRAY LUIS DE LEON,47.0,245.0,1,A
INSTITUTO ANDINO DE BACHILLERATO Y CAPACITACION,53.34615384615385,261.9230769230769,26,A
INSTITUTO CENTRAL DE ESTUDIOS S.A.S,53.54545454545455,242.36363636363637,11,A
INSTITUTO DE EDUCACIÓN FORMAL DE ADULTOS EL PENSAMIENTO DE PITÁGORAS,40.121212121212125,228.75757575757575,33,A
INSTITUTO EL ROBLE,56.45454545454545,253.9090909090909,11,OTRO
INSTITUTO GERWILL,43.03225806451613,222.19354838709677,62,A
INSTITUTO INGABO,47.333333333333336,237.33333333333334,3,A
INSTITUTO STUDIUM,73.33333333333333,299.0,6,A
LIC BOSTON,75.76666666666667,295.1166666666667,60,B
LIC FRANCES LOUIS PASTEUR,81.70731707317073,339.8292682926829,41,B
LICEO BRITANICO SUPERIOR (ANTES TEDUCAMOS 1A),43.5,237.22222222222223,18,A
POLITECNICA COLOMBIANA (ANTES ESCUELA COLOMBIANA DE SISTEMAS),43.5,231.16666666666666,24,A
POLITECNICO MAYOR ANDINO,52.23076923076923,253.0,26,A
POLITECNICO UNIVERSAL DE CAPACITACION,49.375,229.875,8,A
QUALIA ALTERNATIVA EDUCATIVA,74.11111111111111,316.44444444444446,9,B
TANDEM,71.75,276.1666666666667,12,A
