Fecha;TRM
29/01/2021;3585,44
01/02/2021;3559,46
02/02/2021;3561,37
03/02/2021;3534,99
04/02/2021;3522,57
05/02/2021;3558,63
08/02/2021;3543,28
09/02/2021;3554,65
10/02/2021;3583,23
11/02/2021;3557,16
12/02/2021;3525,45
16/02/2021;3515,65
17/02/2021;3518,19
18/02/2021;3545,84
19/02/2021;3537,86
22/02/2021;3555,4
23/02/2021;3602,41
24/02/2021;3590,37
25/02/2021;3578,29
26/02/2021;3588,23
01/03/2021;3624,39
02/03/2021;3622,36
03/03/2021;3646,61
04/03/2021;3676,94
05/03/2021;3647,99
08/03/2021;3640,2
09/03/2021;3623,61
10/03/2021;3598,77
11/03/2021;3561,91
12/03/2021;3534,62
15/03/2021;3575,3
16/03/2021;3575,63
17/03/2021;3553,51
18/03/2021;3578,02
19/03/2021;3569,45
23/03/2021;3553,34
24/03/2021;3589,82
25/03/2021;3635,12
26/03/2021;3658,22
29/03/2021;3665,41
30/03/2021;3705,85
31/03/2021;3736,91
05/04/2021;3678,62
06/04/2021;3645,79
07/04/2021;3645,14
08/04/2021;3639,62
09/04/2021;3634,07
12/04/2021;3650,23
13/04/2021;3653,57
14/04/2021;3666,17
15/04/2021;3665,49
16/04/2021;3620,4
19/04/2021;3595,57
20/04/2021;3606,42
21/04/2021;3636,26
22/04/2021;3639,12
23/04/2021;3630,81
26/04/2021;3640,07
27/04/2021;3659,62
28/04/2021;3717,46
29/04/2021;3699,74
30/04/2021;3712,89
03/05/2021;3740,14
04/05/2021;3816,65
05/05/2021;3831,35
06/05/2021;3846,28
07/05/2021;3800,33
10/05/2021;3765,33
11/05/2021;3714,94
12/05/2021;3703,2
13/05/2021;3734,09
14/05/2021;3728,09
18/05/2021;3682,84
19/05/2021;3655,74
20/05/2021;3682,66
21/05/2021;3721,57
24/05/2021;3738,19
25/05/2021;3750,66
26/05/2021;3735,41
27/05/2021;3747,48
28/05/2021;3729,02
01/06/2021;3715,28
02/06/2021;3671,38
03/06/2021;3642,29
04/06/2021;3657,41
08/06/2021;3609,2
09/06/2021;3597,18
10/06/2021;3588,41
11/06/2021;3589,86
15/06/2021;3626,02
16/06/2021;3693,35
17/06/2021;3690,56
18/06/2021;3730,45
21/06/2021;3753,77
22/06/2021;3758,08
23/06/2021;3784,45
24/06/2021;3773,11
25/06/2021;3770,35
28/06/2021;3739,03
29/06/2021;3713,17
30/06/2021;3756,67
01/07/2021;3748,5
02/07/2021;3775,53
06/07/2021;3777,17
07/07/2021;3782,27
08/07/2021;3815,22
09/07/2021;3850,46
12/07/2021;3829,46
13/07/2021;3824,08
14/07/2021;3826,85
15/07/2021;3796,07
16/07/2021;3809,07
19/07/2021;3808,46
21/07/2021;3842,97
22/07/2021;3855,68
23/07/2021;3866,86
26/07/2021;3874,44
27/07/2021;3904,17
28/07/2021;3918,49
29/07/2021;3902,18
30/07/2021;3836,95
02/08/2021;3867,88
03/08/2021;3865,46
04/08/2021;3913,59
05/08/2021;3911,36
06/08/2021;3910,81
09/08/2021;3949,33
10/08/2021;3988,27
11/08/2021;3979,8
12/08/2021;3950,43
13/08/2021;3887,07
17/08/2021;3830,25
18/08/2021;3868,41
19/08/2021;3861,33
20/08/2021;3876,08
23/08/2021;3874,95
24/08/2021;3867,73
25/08/2021;3861,88
26/08/2021;3865,04
27/08/2021;3870,57
30/08/2021;3834,13
31/08/2021;3806,87
01/09/2021;3774
02/09/2021;3753,3
03/09/2021;3780,85
07/09/2021;3790,04
08/09/2021;3812,76
09/09/2021;3816,14
10/09/2021;3829,72
13/09/2021;3836,85
14/09/2021;3835,27
15/09/2021;3830,83
16/09/2021;3825,36
17/09/2021;3818,16
20/09/2021;3828,18
21/09/2021;3851,22
22/09/2021;3843,77
23/09/2021;3834,66
24/09/2021;3835,67
27/09/2021;3844,88
28/09/2021;3837,91
29/09/2021;3841,94
30/09/2021;3834,68
01/10/2021;3812,77
04/10/2021;3781,35
05/10/2021;3786,05
06/10/2021;3796,3
07/10/2021;3788,03
08/10/2021;3772,44
12/10/2021;3765,8
13/10/2021;3738,48
14/10/2021;3725,75
15/10/2021;3755,29
19/10/2021;3772,49
20/10/2021;3766,94
21/10/2021;3770,58
22/10/2021;3783,3
25/10/2021;3780,38
26/10/2021;3769,98
27/10/2021;3774,46
28/10/2021;3761,21
29/10/2021;3766,1
02/11/2021;3784,44
03/11/2021;3778,69
04/11/2021;3837,84
05/11/2021;3847,4
08/11/2021;3881,76
09/11/2021;3874,41
10/11/2021;3876,86
12/11/2021;3875,38
16/11/2021;3888,53
17/11/2021;3898,84
18/11/2021;3907,95
19/11/2021;3943,43
22/11/2021;3923,53
23/11/2021;3913,26
24/11/2021;3944,37
26/11/2021;3969,49
29/11/2021;4008,13
30/11/2021;4010,98
01/12/2021;4004,54
02/12/2021;3953,26
03/12/2021;3945,18
06/12/2021;3948,33
07/12/2021;3944
09/12/2021;3906,1
10/12/2021;3899,87
13/12/2021;3887,71
14/12/2021;3886,87
15/12/2021;3936,41
16/12/2021;3990,27
17/12/2021;4002,97
20/12/2021;3999,85
21/12/2021;4002,12
22/12/2021;3996,28
23/12/2021;3997,71
24/12/2021;3997,09
27/12/2021;3994,15
28/12/2021;3989,41
29/12/2021;4004
30/12/2021;4023,68
03/01/2022;3981,16
04/01/2022;4082,75
05/01/2022;4084,11
06/01/2022;4042,36
07/01/2022;4039,31
11/01/2022;4043,46
12/01/2022;4011,65
13/01/2022;3970,08
14/01/2022;3950,4
18/01/2022;3993,65
19/01/2022;4033,37
20/01/2022;4003,95
21/01/2022;3980,8
24/01/2022;3964,3
25/01/2022;3977,51
26/01/2022;3987,32
27/01/2022;3947,83
28/01/2022;3944,04
31/01/2022;3982,6
01/02/2022;3942,73
02/02/2022;3923,61
03/02/2022;3928,05
04/02/2022;3951,96
07/02/2022;3962,68
08/02/2022;3963,84
09/02/2022;3965,41
10/02/2022;3939,31
11/02/2022;3917,75
14/02/2022;3917,52
15/02/2022;3938,97
16/02/2022;3946,88
17/02/2022;3963,72
18/02/2022;3953,26
22/02/2022;3927,25
23/02/2022;3932,4
24/02/2022;3913,79
25/02/2022;3940,2
28/02/2022;3910,64
01/03/2022;3910,28
02/03/2022;3901,62
03/03/2022;3862,95
04/03/2022;3771,77
07/03/2022;3806,11
08/03/2022;3813,41
09/03/2022;3787,18
10/03/2022;3746,43
11/03/2022;3786
14/03/2022;3827,64
15/03/2022;3800,85
16/03/2022;3836,56
17/03/2022;3826,89
18/03/2022;3816,43
22/03/2022;3820,67
23/03/2022;3765,67
24/03/2022;3756,64
25/03/2022;3798,9
28/03/2022;3785,66
29/03/2022;3785,7
30/03/2022;3765,96
31/03/2022;3748,15
01/04/2022;3756,03
04/04/2022;3774,79
05/04/2022;3706,95
06/04/2022;3723,79
07/04/2022;3746,51
08/04/2022;3771,83
11/04/2022;3777,41
12/04/2022;3744,16
13/04/2022;3736,7
18/04/2022;3737,32
19/04/2022;3731,31
20/04/2022;3755,85
21/04/2022;3758,65
22/04/2022;3759,54
25/04/2022;3819,07
26/04/2022;3931,74
27/04/2022;3947,63
28/04/2022;3967,32
30/03/2021;3705,85
31/03/2021;3736,91
01/04/2021;3678,62
06/04/2021;3645,79
07/04/2021;3645,14
08/04/2021;3639,62
09/04/2021;3634,07
10/04/2021;3650,23
13/04/2021;3653,57
14/04/2021;3666,17
15/04/2021;3665,49
16/04/2021;3620,4
17/04/2021;3595,57
20/04/2021;3606,42
21/04/2021;3636,26
22/04/2021;3639,12
23/04/2021;3630,81
24/04/2021;3640,07
27/04/2021;3659,62
28/04/2021;3717,46
29/04/2021;3699,74
30/04/2021;3712,89
01/05/2021;3740,14
04/05/2021;3816,65
05/05/2021;3831,35
