"w.1.","w.2.","w.3.","w.4.","w.5."
0.375372861872254,0.126003446271997,0.498122065229062,0.000462886202714282,3.13956889340239e-05
0.375372861872254,0.126003446271997,0.498122065229062,0.000461978051096981,2.83676555271008e-05
0.375372861872254,0.134458018392551,0.489675998597843,0.000468294691196653,1.77627584860416e-05
0.367095868182816,0.136239734398463,0.496164741886218,0.000478270342164509,1.60931525747917e-05
0.367095868182816,0.136239734398463,0.496164741886218,0.00048940432119413,7.71441848591198e-06
0.367095868182816,0.134879832396724,0.497523275796017,0.000490744344597279,6.11770402486317e-06
0.407448094913653,0.126280265251124,0.46580256009908,0.000459455834909076,3.98713706451044e-06
0.407448094913653,0.126280265251124,0.46580256009908,0.000459455834909076,4.32394147526198e-06
0.381993788898904,0.126252636944335,0.491258859022694,0.000484565282725671,7.26948723981435e-06
0.370927913173474,0.138186742830372,0.490391502321116,0.000475963140850104,1.23203433362661e-05
0.370927913173474,0.129284775202268,0.499284514369963,0.000484594501561603,1.63450410162172e-05
0.370927913173474,0.129284775202268,0.499284514369963,0.000456506186439366,4.15667571756141e-05
0.370927913173474,0.129284775202268,0.499284514369963,0.000492837370680131,9.31343002902208e-06
0.361295695947023,0.131264356024401,0.506929452050279,0.000500383591075399,7.27681538485216e-06
0.362341588672178,0.131049407676367,0.506099343621853,0.000490562155886752,1.37427195198871e-05
0.362341588672178,0.131049407676367,0.506099343621853,0.000508283972921427,9.90202431914509e-07
0.362341588672178,0.117877192378003,0.519258307375949,0.00052149973868116,5.36611058678673e-07
0.362341588672178,0.117877192378003,0.518548812573341,0.00122616688366725,2.6965328495956e-06
0.369322532698926,0.111217265344792,0.518228556714249,0.001225409602734,1.5138009270209e-06
0.369322532698926,0.10840950730838,0.521029657528773,0.00123203312008339,1.14436865429447e-06
0.343325956682967,0.112878155934207,0.542506541991572,0.00128281762455838,2.90176347704388e-06
0.340636763955754,0.113340411324212,0.544728199238476,0.00124129190251302,2.42142881086767e-05
0.340636763955754,0.112243017582827,0.54582299104852,0.00124378664431388,2.42629538549047e-05
0.340636763955754,0.112243017582827,0.54582299104852,0.00121105265994824,5.11909939728186e-05
0.339603904972405,0.112418840562774,0.546677995011138,0.00121294971236299,3.13295088845041e-05
0.339603904972405,0.103954372434407,0.555122393802418,0.00123168584437934,1.87117117914568e-05
0.339603904972405,0.103954372434407,0.555122393802418,0.0011008859368642,2.80103618048112e-05
0.339603904972405,0.110089359952685,0.549001952399817,0.00108874823904701,2.77015366159772e-05
0.339603904972405,0.110089359952685,0.549001952399817,0.00108874823904701,2.61995709994174e-05
