Symbol
1INCH-USD
AAVE-USD
ACA-USD
ACH-USD
ACM-USD
ADA-USD
ADX-USD
AGLD-USD
AKRO-USD
ALCX-USD
ALGO-USD
ALICE-USD
ALPACA-USD
ALPHA-USD
ALPINE-USD
AMP-USD
ANC-USD
ANKR-USD
ANT-USD
APE-USD
API3-USD
APT-USD
AR-USD
ARPA-USD
ASR-USD
ASTR-USD
ATA-USD
ATM-USD
ATOM-USD
AUCTION-USD
AUD-USD
AUDIO-USD
AUTO-USD
AVA-USD
AVAX-USD
AXS-USD
BADGER-USD
BAKE-USD
BAL-USD
BAND-USD
BAR-USD
BAT-USD
BCH-USD
BETA-USD
BICO-USD
BIFI-USD
BLZ-USD
BNB-USD
BNT-USD
BNX-USD
BOND-USD
BSW-USD
BTC-USD
BURGER-USD
C98-USD
CAKE-USD
CELO-USD
CELR-USD
CFX-USD
CHESS-USD
CHR-USD
CHZ-USD
CITY-USD
CKB-USD
CLV-USD
COCOS-USD
COMP-USD
COS-USD
COTI-USD
CRV-USD
CTK-USD
CTSI-USD
CTXC-USD
CVC-USD
CVP-USD
CVX-USD
DAR-USD
DASH-USD
DATA-USD
DEGO-USD
DENT-USD
DEXE-USD
DF-USD
DGB-USD
DIA-USD
DOCK-USD
DODO-USD
DOGE-USD
DOT-USD
DREP-USD
DUSK-USD
DYDX-USD
EGLD-USD
ELF-USD
ENJ-USD
ENS-USD
EOS-USD
EPX-USD
ERN-USD
ETC-USD
ETH-USD
EUR-USD
FARM-USD
FET-USD
FIDA-USD
FIL-USD
FIO-USD
FIRO-USD
FIS-USD
FLOW-USD
FLUX-USD
FOR-USD
FORTH-USD
FRONT-USD
FTM-USD
FTT-USD
FXS-USD
GALA-USD
GAL-USD
GAS-USD
GBP-USD
GHST-USD
GLM-USD
GLMR-USD
GMT-USD
GRT-USD
GTC-USD
HARD-USD
HBAR-USD
HFT-USD
HIGH-USD
HIVE-USD
HNT-USD
HOOK-USD
HOT-USD
ICP-USD
ICX-USD
IDEX-USD
ILV-USD
IMX-USD
INJ-USD
IOST-USD
IOTA-USD
IOTX-USD
IQ-USD
JASMY-USD
JOE-USD
JST-USD
JUV-USD
KAVA-USD
KDA-USD
KEY-USD
KLAY-USD
KNC-USD
KP3R-USD
KSM-USD
LAZIO-USD
LDO-USD
LEVER-USD
LINA-USD
LINK-USD
LIT-USD
LOKA-USD
LPT-USD
LRC-USD
LSK-USD
LTC-USD
LTO-USD
LUNA-USD
LUNC-USD
MAGIC-USD
MANA-USD
MASK-USD
MATIC-USD
MBL-USD
MBOX-USD
MC-USD
MDT-USD
MDX-USD
MINA-USD
MIR-USD
MKR-USD
MLN-USD
MOB-USD
MOVR-USD
MTL-USD
MULTI-USD
NEAR-USD
NEBL-USD
NEO-USD
NEXO-USD
NKN-USD
NMR-USD
NULS-USD
OCEAN-USD
OG-USD
OGN-USD
OM-USD
OMG-USD
ONE-USD
ONT-USD
OOKI-USD
OP-USD
ORN-USD
OSMO-USD
OXT-USD
PAXG-USD
PEOPLE-USD
PERP-USD
PHA-USD
PLA-USD
POLS-USD
POND-USD
PORTO-USD
POWR-USD
PROM-USD
PROS-USD
PSG-USD
PUNDIX-USD
PYR-USD
QI-USD
QKC-USD
QNT-USD
QTUM-USD
QUICK-USD
RAD-USD
RARE-USD
RAY-USD
REEF-USD
REI-USD
REN-USD
REQ-USD
RNDR-USD
ROSE-USD
RSR-USD
RUNE-USD
RVN-USD
SAND-USD
SANTOS-USD
SC-USD
SCRT-USD
SFP-USD
SHIB-USD
SKL-USD
SLP-USD
SNT-USD
SNX-USD
SOL-USD
SPELL-USD
SRM-USD
SSV-USD
STEEM-USD
STG-USD
STMX-USD
STORJ-USD
STPT-USD
STRAX-USD
STX-USD
SUN-USD
SUPER-USD
SUSHI-USD
SXP-USD
SYS-USD
T-USD
TFUEL-USD
THETA-USD
TKO-USD
TLM-USD
TOMO-USD
TORN-USD
TRB-USD
TRIBE-USD
TROY-USD
TRX-USD
TVK-USD
TWT-USD
UFT-USD
UMA-USD
UNFI-USD
UNI-USD
USTC-USD
UTK-USD
VET-USD
VIB-USD
VIDT-USD
VITE-USD
VOXEL-USD
WAVES-USD
WAXP-USD
WBTC-USD
WIN-USD
WING-USD
WOO-USD
WRX-USD
XEC-USD
XLM-USD
XMR-USD
XNO-USD
XRP-USD
XTZ-USD
XVG-USD
XVS-USD
YFI-USD
YGG-USD
ZEC-USD
ZEN-USD
ZIL-USD
ZRX-USD
